id,givenName,familyName,middleName,honorificSuffix,birthYear,deathYear,num_terms,positions,states,parties,congress_range
M000247,Aaron,Matson,,,1770.0,1855.0,2,['Representative'],['NH'],"['Democratic Republican', 'Adams-Clay Republican']",17-18
M000256,William,Matthews,,,1755.0,1808.0,1,['Representative'],['MD'],['Federalist'],5-5
M000258,John,Mattocks,,,1777.0,1847.0,3,['Representative'],['VT'],"['Democratic Republican', 'Adams', 'Whig']",17-27
M000259,Ebenezer,Mattoon,,,1755.0,1843.0,2,['Representative'],['MA'],['Federalist'],6-7
M000267,George,Maxwell,Clifford,,1771.0,1816.0,1,['Representative'],['NJ'],['Democratic Republican'],12-12
M000269,Lewis,Maxwell,,,1790.0,1862.0,3,['Representative'],['VA'],"['Adams', 'Anti-Jacksonian']",20-22
M000271,Thomas,Maxwell,,,1792.0,1864.0,1,['Representative'],['NY'],['Jacksonian'],21-21
M000277,William,May,L.,,1793.0,1849.0,3,['Representative'],['IL'],"['Democrat', 'Jacksonian']",23-25
M000285,John,Maynard,,,,1850.0,2,['Representative'],['NY'],"['Whig', 'Adams']",20-27
M000288,William,Mayrant,,,,,1,['Representative'],['SC'],['Democratic Republican'],14-14
M000299,Duncan,McArthur,,,1772.0,1839.0,2,['Representative'],['OH'],"['Democratic Republican', 'Adams-Clay Republican']",13-18
M000302,Archibald,McBryde,,,1766.0,1836.0,2,['Representative'],['NC'],['Federalist'],11-12
M000320,Johnathan,McCarty,,,1795.0,1852.0,3,['Representative'],['IN'],"['Jacksonian', 'Anti-Jacksonian']",22-24
M000321,Richard,McCarty,,,1780.0,1844.0,1,['Representative'],['NY'],['Democratic Republican'],17-17
M000336,Blair,McClenachan,,,1735.0,1812.0,1,['Representative'],['PA'],['Democratic Republican'],5-5
M000352,William,McComas,,,1795.0,1865.0,2,['Representative'],['VA'],"['Jacksonian', 'Anti-Jacksonian']",23-24
M000359,Andrew,McCord,,,1754.0,1808.0,1,['Representative'],['NY'],['Democratic Republican'],8-8
M000375,Robert,McCoy,,,,1849.0,1,['Representative'],['PA'],['Jacksonian'],22-22
M000377,William,McCoy,,,,1864.0,11,['Representative'],['VA'],"['Democratic Republican', 'Jacksonian', 'Crawford Republican']",12-22
M000383,John,McCreary,,,1761.0,1833.0,1,['Representative'],['SC'],['Democratic Republican'],16-16
M000387,William,McCreery,,,1750.0,1814.0,3,['Representative'],['MD'],['Democratic Republican'],8-10
M000386,William,McCreery,,,1786.0,1841.0,1,['Representative'],['PA'],['Jacksonian'],21-21
M000396,Thomas,McCullough,Grubb,,1785.0,1848.0,1,['Representative'],['PA'],['Federalist'],16-16
M000424,Joseph,McDowell,,,1758.0,1799.0,1,['Representative'],['NC'],['Anti-Administration'],3-3
M000423,Joseph,McDowell,,,1756.0,1801.0,1,['Representative'],['NC'],['Democratic Republican'],5-5
M000426,George,McDuffie,,,1790.0,1851.0,10,"['Senator', 'Representative']",['SC'],"['Jacksonian', 'Nullifier', 'Jackson Republican', 'Democrat', 'Democratic Republican']",17-29
M000437,Duncan,McFarlan,,,,1816.0,1,['Representative'],['NC'],['Democratic Republican'],9-9
M000467,Robert,McHatton,Lytle,,1788.0,1835.0,2,['Representative'],['KY'],['Jacksonian'],19-20
M000475,Joseph,McIlvaine,,,1769.0,1826.0,2,['Senator'],['NJ'],['Adams-Clay Republican'],18-19
M000479,Rufus,McIntire,,,1784.0,1866.0,4,['Representative'],['ME'],['Jacksonian'],20-23
M000489,James,McKay,Iver,,1792.0,1853.0,9,['Representative'],['NC'],"['Democrat', 'Jacksonian']",22-30
M000492,Samuel,McKean,,,1787.0,1841.0,6,"['Senator', 'Representative']",['PA'],"['Democrat', 'Jackson Republican', 'Jacksonian']",18-25
M000495,John,McKee,,,1771.0,1832.0,3,['Representative'],['AL'],"['Jackson Republican', 'Jacksonian']",18-20
